open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,3281.43,3286.13,3276.90,3279.28,3096.826,1648771259999,10164534.48534,2410,1624.625,5332945.42901,0
1648771260000,3279.26,3279.26,3273.17,3273.50,1477.499,1648771319999,4840499.26360,1767,437.489,1433380.88807,0
1648771320000,3273.50,3286.31,3271.90,3286.31,2546.534,1648771379999,8351043.55750,2523,1946.919,6386866.40476,0
1648771380000,3286.31,3288.36,3276.59,3280.60,4079.448,1648771439999,13387832.39909,3156,1905.271,6253518.79574,0
1648771440000,3280.60,3287.46,3279.53,3285.90,2263.637,1648771499999,7436172.42970,2054,1556.855,5113971.74142,0
1648771500000,3285.90,3289.60,3284.62,3287.12,1643.578,1648771559999,5403454.47411,1875,1106.244,3637038.72617,0
1648771560000,3287.11,3289.60,3286.48,3286.48,929.400,1648771619999,3056456.03926,1328,549.792,1808069.07642,0
1648771620000,3286.48,3290.84,3286.48,3290.03,1081.517,1648771679999,3557511.46020,1411,659.710,2169928.66389,0
1648771680000,3290.03,3290.04,3284.70,3287.57,761.550,1648771739999,2502524.26172,1265,298.873,982071.95129,0
1648771740000,3287.57,3291.57,3282.43,3291.54,1715.113,1648771799999,5637115.94385,1736,1045.337,3436727.43825,0
1648771800000,3291.55,3291.55,3284.24,3285.74,866.482,1648771859999,2848277.43781,1326,340.223,1118406.70572,0
1648771860000,3285.74,3291.32,3285.11,3289.13,1586.479,1648771919999,5218564.42142,1786,652.934,2147863.60581,0
1648771920000,3289.13,3294.88,3289.13,3294.24,2014.376,1648771979999,6632085.80876,1722,1615.397,5318456.70836,0
1648771980000,3294.24,3294.76,3290.42,3290.83,1039.564,1648772039999,3423268.44859,1425,319.791,1052908.65248,0
1648772040000,3290.82,3293.84,3288.99,3292.42,577.928,1648772099999,1902760.81760,1099,258.839,852233.02769,0
1648772100000,3292.38,3293.40,3288.59,3289.99,667.626,1648772159999,2196477.87879,1150,239.866,789181.86565,0
1648772160000,3290.00,3290.50,3288.35,3290.35,630.189,1648772219999,2072755.72365,910,282.409,928820.22114,0
1648772220000,3290.34,3297.97,3288.71,3295.61,2329.135,1648772279999,7674465.52742,1851,2011.142,6626610.77827,0
1648772280000,3295.60,3296.10,3286.42,3286.42,1348.702,1648772339999,4437512.64694,1506,238.328,784605.18974,0
1648772340000,3286.43,3289.36,3284.91,3289.12,1286.338,1648772399999,4227982.48034,1396,527.571,1734468.52953,0
1648772400000,3289.12,3289.71,3287.17,3289.35,289.348,1648772459999,951554.79496,729,153.069,503377.43827,0
1648772460000,3289.35,3289.36,3286.44,3288.57,336.142,1648772519999,1105215.50480,752,113.470,373047.84110,0
1648772520000,3288.57,3291.59,3288.57,3290.55,811.475,1648772579999,2669908.24344,766,694.872,2286266.04188,0
1648772580000,3290.55,3294.52,3290.55,3293.59,722.175,1648772639999,2378211.83624,773,590.714,1945256.65121,0
